sample,lib_id,lib_id_order,years,ka
JK079L-1_S1,JK079L-1,01_JK079L-1_33.65ka,33652,33.65
JK079L-10-WDH_S10,JK079L-10-WDH,10_JK079L-10-WDH_22.78ka,22784,22.78
JK079L-11-WDH_S11,JK079L-11-WDH,11_JK079L-11-WDH_20.5ka,20503,20.5
JK079L-12-WDH_S12,JK079L-12-WDH,12_JK079L-12-WDH_19.32ka,19318,19.32
JK079L-13-WDH_S13,JK079L-13-WDH,13_JK079L-13-WDH_17.91ka,17912,17.91
JK079L-14-WDH_S14,JK079L-14-WDH,14_JK079L-14-WDH_16.91ka,16912,16.91
JK079L-15_S15,JK079L-15,28_JK079L-15_EB,-99999,-99999
JK079L-16_S16,JK079L-16,29_JK079L-16_LB,-99998,-99998
JK079L-2_S2,JK079L-2,02_JK079L-2_32.76ka,32760,32.76
JK079L-3_S3,JK079L-3,03_JK079L-3_31.24ka,31244,31.24
JK079L-4_S4,JK079L-4,04_JK079L-4_29.72ka,29723,29.72
JK079L-5_S5,JK079L-5,05_JK079L-5_29.02ka,29015,29.02
JK079L-6-WDH_S6,JK079L-6-WDH,06_JK079L-6-WDH_28.16ka,28164,28.16
JK079L-7-WDH_S7,JK079L-7-WDH,07_JK079L-7-WDH_27.32ka,27317,27.32
JK079L-8_S8,JK079L-8,08_JK079L-8_25.41ka,25409,25.41
JK079L-9_S9,JK079L-9,09_JK079L-9_24.19ka,24192,24.19
JK080L-1_S17,JK080L-1,15_JK080L-1_16.03ka,16025,16.03
JK080L-10_S26,JK080L-10,23_JK080L-10_9.38ka,9381,9.38
JK080L-11_S27,JK080L-11,24_JK080L-11_7.72ka,7716,7.72
JK080L-12_S28,JK080L-12,25_JK080L-12_5.63ka,5630,5.63
JK080L-13_S29,JK080L-13,26_JK080L-13_2.95ka,2949,2.95
JK080L-14_S30,JK080L-14,27_JK080L-14_1.43ka,1431,1.43
JK080L-15_S31,JK080L-15,30_JK080L-15_EB,-99997,-99997
JK080L-16_S32,JK080L-16,31_JK080L-16_LB,-99996,-99996
JK080L-2_S18,JK080L-2,16_JK080L-2_15.12ka,15118,15.12
JK080L-3_S19,JK080L-3,17_JK080L-3_14.2ka,14202,14.2
JK080L-4_S20,JK080L-4,18_JK080L-4_13.32ka,13319,13.32
JK080L-5_S21,JK080L-5,32_JK080L-5_EB,-99995,-99995
JK080L-6_S22,JK080L-6,19_JK080L-6_12.33ka,12329,12.33
JK080L-7_S23,JK080L-7,20_JK080L-7_11.58ka,11577,11.58
JK080L-8_S24,JK080L-8,21_JK080L-8_10.8ka,10799,10.8
JK080L-9_S25,JK080L-9,22_JK080L-9_10.17ka,10173,10.17
