sample,lib_id,lib_id_order,years,ka
201118_A00902_B_L1-2_APMG_19_2,JK097L_3,01_JK097L_3_0.07ka,74,0.1
201118_A00902_B_L1-2_APMG_19_1,JK097L_2,02_JK097L_2_1.56ka,1564,1.6
201118_A00902_B_L1-2_APMG_19_3,JK097L_4,03_JK097L_4_2.87ka,2865,2.9
201118_A00902_B_L1-2_APMG_19_4,JK097L_5,04_JK097L_5_4.43ka,4433,4.4
201118_A00902_B_L1-2_APMG_19_10,JK098L_6,05_JK098L_6_6.3ka,6301,6.3
201118_A00902_B_L1-2_APMG_19_11,JK098L_7,06_JK098L_7_9.2ka,9203,9.2
201118_A00902_B_L1-2_APMG_19_8,JK098L_4,07_JK098L_4_10.18ka,10184,10.2
201118_A00902_B_L1-2_APMG_19_9,JK098L_5,08_JK098L_5_11.59ka,11592,11.6
201118_A00902_B_L1-2_APMG_19_5,JK097L_6,09_JK097L_6_13.24ka,13242,13.2
201118_A00902_B_L1-2_APMG_19_12,JK099L_1,10_JK099L_1_15.86ka,15855,15.9
201118_A00902_B_L1-2_APMG_19_7,JK098L_3,11_JK098L_3_19.88ka,19883,19.9
201118_A00902_B_L1-2_APMG_19_6,JK098L_2,12_JK098L_2_27.95ka,27950,28
201118_A00902_B_L1-2_APMG_19_13,JK099L_2,13_JK099L_2_31.05ka,31049,31
201118_A00902_B_L1-2_APMG_19_14,JK099L_3,14_JK099L_3_35.13ka,35126,35.1
201118_A00902_B_L1-2_APMG_19_15,JK099L_4,15_JK099L_4_41.99ka,41986,42
201118_A00902_B_L1-2_APMG_19_16,JK099L_5,16_JK099L_5_45.28ka,45275,45.3
201118_A00902_B_L1-2_APMG_19_17,JK099L_6,17_JK099L_6_54.57ka,54565,54.6
201118_A00902_B_L1-2_APMG_19_18,JK097L_1_EB,18_JK097L_1_EB,-9999,-9999
201118_A00902_B_L1-2_APMG_19_21,JK099L_7_EB,19_JK099L_7_EB,-9998,-9998
201118_A00902_B_L1-2_APMG_19_19,JK097L_8_LB,20_JK097L_8_LB,-9997,-9997
201118_A00902_B_L1-2_APMG_19_20,JK098L_8_LB,21_JK098L_8_LB,-9996,-9996
201118_A00902_B_L1-2_APMG_19_22,JK099L_8_LB,22_JK099L_8_LB,-9995,-9995
