sample,lib_id,lib_id_order,years,ka
210810_A00902_B_L001_APMG-37-6,APMG-37-6,01_APMG-37-6_23ka,22974,23
BH194L-2_S26,BH194L-2,02_BH194L-2_22.5ka,22505,22.5
210810_A00902_B_L001_APMG-37-7,APMG-37-7,03_APMG-37-7_21.7ka,21740,21.7
JK081L-13_S13,JK081L-13,04_JK081L-13_21.1ka,21057,21.1
210810_A00902_B_L001_APMG-37-8,APMG-37-8,05_APMG-37-8_20.6ka,20620,20.6
BH194L-1_S25,BH194L-1,06_BH194L-1_20.1ka,20053,20.1
210810_A00902_B_L001_APMG-37-9,APMG-37-9,07_APMG-37-9_19.6ka,19590,19.6
JK081L-12_S12,JK081L-12,08_JK081L-12_19.2ka,19192,19.2
210810_A00902_B_L001_APMG-37-10,APMG-37-10,09_APMG-37-10_18.7ka,18716,18.7
JK081L-9_S9,JK081L-9,10_JK081L-9_18.4ka,18408,18.4
210810_A00902_B_L001_APMG-37-11,APMG-37-11,11_APMG-37-11_17.9ka,17948,17.9
JK081L-11_S11,JK081L-11,12_JK081L-11_17.2ka,17212,17.2
210810_A00902_B_L002_APMG-38-15,APMG-38-15,13_APMG-38-15_16.9ka,16946,16.9
JK115L-2_S24,JK115L-2,14_JK115L-2_16.5ka,16535,16.5
JK081L-8_S8,JK081L-8,15_JK081L-8_16.1ka,16079,16.1
210810_A00902_B_L002_APMG-38-7,APMG-38-7,16_APMG-38-7_15.6ka,15596,15.6
JK081L-7_S7,JK081L-7,17_JK081L-7_15.1ka,15125,15.1
210810_A00902_B_L002_APMG-38-8,APMG-38-8,18_APMG-38-8_14.7ka,14667,14.7
JK081L-6_S6,JK081L-6,19_JK081L-6_14.3ka,14320,14.3
JK081L-5_S5,JK081L-5,20_JK081L-5_14ka,14025,14
JK109L-4_S21,JK109L-4,21_JK109L-4_13.96ka,13959,13.96
JK109L-4_S22,JK109L-4,22_JK109L-4_13.96ka,13956,13.96
210810_A00902_B_L001_APMG-37-4,APMG-37-4,23_APMG-37-4_13.7ka,13743,13.7
JK115L-4_S23,JK115L-4,24_JK115L-4_13.6ka,13553,13.6
JK081L-2_S2,JK081L-2,25_JK081L-2_13ka,12977,13
JK081L-4_S4,JK081L-4,26_JK081L-4_11.8ka,11769,11.8
210810_A00902_B_L001_APMG-37-3,APMG-37-3,27_APMG-37-3_11.5ka,11508,11.5
BH193L-5_S24,BH193L-5,28_BH193L-5_11.5ka,11508,11.5
JK081L-3_S3,JK081L-3,29_JK081L-3_10.4ka,10402,10.4
JK105L-6_S21,JK105L-6,30_JK105L-6_10.1ka,10086,10.1
JK081L-1_S1,JK081L-1,31_JK081L-1_9.8ka,9805,9.8
210810_A00902_B_L001_APMG-37-2,APMG-37-2,32_APMG-37-2_9.2ka,9157,9.2
BH193L-4_S23,BH193L-4,33_BH193L-4_9.2ka,9157,9.2
BH193L-3_S20,BH193L-3,34_BH193L-3_8.5ka,8491,8.5
210810_A00902_B_L002_APMG-38-9,APMG-38-9,35_APMG-38-9_7.6ka,7569,7.6
JK109L-5_S30,JK109L-5,36_JK109L-5_7.6ka,7558,7.6
BH193L-2_S19,BH193L-2,37_BH193L-2_6.9ka,6869,6.9
BH193L-2_S20,BH193L-2,38_BH193L-2_6.9ka,6869,6.9
210810_A00902_B_L001_APMG-37-1,APMG-37-1,39_APMG-37-1_6.4ka,6379,6.4
BH193L-1_S22,BH193L-1,40_BH193L-1_6.4ka,6379,6.4
210810_A00902_B_L002_APMG-38-5,APMG-38-5,41_APMG-38-5_5.1ka,5149,5.1
BH195L-4_S29,BH195L-4,42_BH195L-4_5.1ka,5149,5.1
210810_A00902_B_L002_APMG-38-4,APMG-38-4,43_APMG-38-4_4.3ka,4322,4.3
BH195L-3_S28,BH195L-3,44_BH195L-3_4.3ka,4322,4.3
210810_A00902_B_L002_APMG-38-10,APMG-38-10,45_APMG-38-10_3ka,3025,3
