sample,lib_id,lib_id_order,years,ka
210810_A00902_B_L001_APMG-37-1,APMG-37-1,39_APMG-37-1,6400,6.4
210810_A00902_B_L001_APMG-37-10,APMG-37-10,09_APMG-37-10,18715,18.72
210810_A00902_B_L001_APMG-37-11,APMG-37-11,10_APMG-37-11,17948,17.95
210810_A00902_B_L001_APMG-37-12,APMG-37-12,76_APMG-37-12,-9999,-9999
210810_A00902_B_L001_APMG-37-13,APMG-37-13,75_APMG-37-13,-9998,-9998
210810_A00902_B_L001_APMG-37-14,APMG-37-14,74_APMG-37-14,-9997,-9997
210810_A00902_B_L001_APMG-37-15,APMG-37-15,73_APMG-37-15,-9996,-9996
210810_A00902_B_L001_APMG-37-2,APMG-37-2,32_APMG-37-2,9190,9.19
210810_A00902_B_L001_APMG-37-3,APMG-37-3,27_APMG-37-3,11536,11.54
210810_A00902_B_L001_APMG-37-4,APMG-37-4,22_APMG-37-4,13746,13.75
210810_A00902_B_L001_APMG-37-5,APMG-37-5,72_APMG-37-5,-9995,-9995
210810_A00902_B_L001_APMG-37-6,APMG-37-6,01_APMG-37-6,22982,22.98
210810_A00902_B_L001_APMG-37-7,APMG-37-7,03_APMG-37-7,21753,21.75
210810_A00902_B_L001_APMG-37-8,APMG-37-8,05_APMG-37-8,20630,20.63
210810_A00902_B_L001_APMG-37-9,APMG-37-9,07_APMG-37-9,19593,19.59
210810_A00902_B_L002_APMG-38-1,APMG-38-1,57_APMG-38-1,76,0.08
210810_A00902_B_L002_APMG-38-10,APMG-38-10,45_APMG-38-10,3023,3.02
210810_A00902_B_L002_APMG-38-11,APMG-38-11,71_APMG-38-11,-9994,-9994
210810_A00902_B_L002_APMG-38-12,APMG-38-12,70_APMG-38-12,-9993,-9993
210810_A00902_B_L002_APMG-38-13,APMG-38-13,69_APMG-38-13,-9992,-9992
210810_A00902_B_L002_APMG-38-14,APMG-38-14,68_APMG-38-14,-9991,-9991
210810_A00902_B_L002_APMG-38-15,APMG-38-15,12_APMG-38-15,16946,16.95
210810_A00902_B_L002_APMG-38-2,APMG-38-2,53_APMG-38-2,724,0.72
210810_A00902_B_L002_APMG-38-3,APMG-38-3,49_APMG-38-3,1858,1.86
210810_A00902_B_L002_APMG-38-4,APMG-38-4,43_APMG-38-4,4381,4.38
210810_A00902_B_L002_APMG-38-5,APMG-38-5,41_APMG-38-5,5168,5.17
210810_A00902_B_L002_APMG-38-6,APMG-38-6,67_APMG-38-6,-9990,-9990
210810_A00902_B_L002_APMG-38-7,APMG-38-7,15_APMG-38-7,15599,15.6
210810_A00902_B_L002_APMG-38-8,APMG-38-8,17_APMG-38-8,14669,14.67
210810_A00902_B_L002_APMG-38-9,APMG-38-9,35_APMG-38-9,7562,7.56
BH193L-1_S22,BH193L-1,40_BH193L-1,6400,6.4
BH193L-2_S19,BH193L-2,37_BH193L-2,6890,6.89
BH193L-2_S20,BH193L-2,38_BH193L-2,6890,6.89
BH193L-3_S20,BH193L-3,34_BH193L-3,8513,8.51
BH193L-4_S23,BH193L-4,33_BH193L-4,9190,9.19
BH193L-5_S24,BH193L-5,28_BH193L-5,11536,11.54
BH194L-1_S25,BH194L-1,06_BH194L-1,20059,20.06
BH194L-2_S26,BH194L-2,02_BH194L-2,22518,22.52
BH194L-3_S25,BH194L-3,58_BH194L-3,76,0.08
BH194L-4_S16,BH194L-4,55_BH194L-4,264,0.26
BH194L-4_S17,BH194L-4,56_BH194L-4,264,0.26
BH194L-6_S26,BH194L-6,54_BH194L-6,724,0.72
BH194L-7_S17,BH194L-7,51_BH194L-7,1212,1.21
BH194L-7_S18,BH194L-7,52_BH194L-7,1212,1.21
BH194L-8_S30,BH194L-8,66_BH194L-8,-9989,-9989
BH195L-1_S27,BH195L-1,50_BH195L-1,1858,1.86
BH195L-2_S18,BH195L-2,47_BH195L-2,2504,2.5
BH195L-2_S19,BH195L-2,48_BH195L-2,2504,2.5
BH195L-3_S28,BH195L-3,44_BH195L-3,4381,4.38
BH195L-4_S29,BH195L-4,42_BH195L-4,5168,5.17
BH195L-7_S31,BH195L-7,65_BH195L-7,-9988,-9988
JK081L-1_S1,JK081L-1,31_JK081L-1,9816,9.82
