sample,lib_id,lib_id_order,years,ka
IE111L-1_S1,IE111L-1,IE111L-1_58.2ka,58200,58.2
IE111L-5_S5,IE111L-5,IE111L-5_55.5ka,55540,55.5
IE111L-6_S6,IE111L-6,IE111L-6_48.3ka,48281,48.3
ELS162S7,JK103L_7,JK103L_7_46.6ka,46628,46.6
IE111L-7_S7,IE111L-7,IE111L-7_44.2ka,44230,44.2
IE112L-1_S9,IE112L-1,IE112L-1_39.5ka,39500,39.5
ELS163S8,JK105L_1,JK105L_1_38ka,37995,38
IE112L-2_S10,IE112L-2,IE112L-2_34.2ka,34200,34.2
IE112L-3_S11,IE112L-3,IE112L-3_30ka,30000,30
IE111L-2_S2,IE111L-2,IE111L-2_28.5ka,28500,28.5
IE112L-4_S17,IE112L-4,IE112L-4_24.7ka,24700,24.7
ELS165S9,JK105L_3,JK105L_3_23ka,22905,23
IE112L-5_S18,IE112L-5,IE112L-5_21.8ka,21848,21.8
IE112L-6_S19,IE112L-6,IE112L-6_18.5ka,18500,18.5
IE112L-7_S12,IE112L-7,IE112L-7_16.1ka,16100,16.1
ELS167S10,JK105L_5,JK105L_5_14.4ka,14387,14.4
IE111L-3_S3,IE111L-3,IE111L-3_14.4ka,14400,14.4
IE113L-1_S13,IE113L-1,IE113L-1_13.5ka,13506,13.5
IE113L-2_S14,IE113L-2,IE113L-2_10.5ka,10450,10.5
IE113L-3_S3,IE113L-3,IE113L-3_9.3ka,9340,9.3
IE113L-4_S4,IE113L-4,IE113L-4_8.6ka,8600,8.6
IE113L-5_S5,IE113L-5,IE113L-5_6.8ka,6800,6.8
IE113L-6_S6,IE113L-6,IE113L-6_6.2ka,6200,6.2
IE113L-7_S7,IE113L-7,IE113L-7_5.6ka,5600,5.6
ELS170S11,JK105L_7,JK105L_7_4.7ka,4741,4.7
IE114L-1_S9,IE114L-1,IE114L-1_4.5ka,4500,4.5
IE114L-2_S10,IE114L-2,IE114L-2_2.9ka,2859,2.9
IE111L-4_S1,IE111L-4,IE111L-4_0.9ka,875,0.9
IE114L-3_S11,IE114L-3,IE114L-3_0ka,8,0
EB_S12,JK106L-2,JK106L-2_EB,-9983,-9983
IE115L-6_S15,IE115L-6,IE115L-6_EB,-9985,-9985
IE115L-3_S19,IE115L-3,IE115L-3_EB,-9988,-9988
IE114L-8_S20,IE114L-8,IE114L-8_LB,-9991,-9991
IE114L-7_S17,IE114L-7,IE114L-7_EB,-9992,-9992
IE114L-6_S16,IE114L-6,IE114L-6_EB,-9993,-9993
IE114L-5_S2,IE114L-5,IE114L-5_EB,-9994,-9994
IE114L-4_S4,IE114L-4,IE114L-4_EB,-9995,-9995
IE112L-8_S15,IE112L-8,IE112L-8,-9997,-9997
IE111L-8_S8,IE111L-8,IE111L-8,-9998,-9998
