sample,lib_id,lib_id_order,years,ka
210409_A00902_B_L1-2_APMG-28-19,JK126L,ESL001-17.7 ka,17721.54486,17.72
210602_A00902_B_L001_APMG-34-12,JK126L,ESL001-17.7 ka,17721.54486,17.72
210409_A00902_B_L1-2_APMG-28-18,JK126L,ESL003-17.4 ka,17412.21256,17.41
210602_A00902_B_L002_APMG-35-11,JK126L,ESL003-17.4 ka,17412.21256,17.41
210409_A00902_B_L1-2_APMG-28-17,JK126L,ESL007-17 ka,17025.66008,17.03
210409_A00902_B_L1-2_APMG-28-16,JK126L,ESL008-16.6 ka,16626.01178,16.63
210409_A00902_B_L1-2_APMG-28-15,JK126L,ESL009-16.3 ka,16304.48682,16.3
210409_A00902_B_L1-2_APMG-28-14,JK126L,ESL012-15.9 ka,15924.70804,15.92
210409_A00902_B_L1-2_APMG-28-12,JK125L,ESL015-15.5 ka,15488.93334,15.49
210602_A00902_B_L002_APMG-35-3,JK130L,ESL015-15.5 ka,15488.93334,15.49
200327_A00902_B_L1-2_APMG-10-1,SL066L,ESL018-15.1 ka,15120.89564,15.12
191011_SND405_A_L006_APMG-5-1,SL064L,ESL021-14.7 ka,14725.31156,14.73
210602_A00902_B_L002_APMG-35-5,SL064L,ESL021-14.7 ka,14725.31156,14.73
200327_A00902_B_L1-2_APMG-10-2,SL066L,ESL026-14.1 ka,14093.55114,14.09
210602_A00902_B_L002_APMG-35-6,SL066L,ESL026-14.1 ka,14093.55114,14.09
200327_A00902_B_L1-2_APMG-10-3,SL066L,ESL028-13.5 ka,13466.87325,13.47
200327_A00902_B_L1-2_APMG-10-4,SL066L,ESL029-13.3 ka,13262.38504,13.26
200327_A00902_B_L1-2_APMG-10-5,SL066L,ESL032-12.6 ka,12600.56646,12.6
200327_A00902_B_L1-2_APMG-10-6,SL066L,ESL034-12.2 ka,12169.47335,12.17
210602_A00902_B_L002_APMG-35-7,SL066L,ESL034-12.2 ka,12169.47335,12.17
191011_SND405_A_L006_APMG-5-2,SL064L,ESL036-11.7 ka,11691.84177,11.69
210602_A00902_B_L001_APMG-34-2,SL064L,ESL036-11.7 ka,11691.84177,11.69
200327_A00902_B_L1-2_APMG-10-7,SL066L,ESL038-11.2 ka,11209.93135,11.21
210602_A00902_B_L002_APMG-35-8,SL066L,ESL038-11.2 ka,11209.93135,11.21
200327_A00902_B_L1-2_APMG-10-8,SL066L,ESL041-10.3 ka,10285.66548,10.29
210602_A00902_B_L001_APMG-34-10,SL066L,ESL041-10.3 ka,10285.66548,10.29
210602_A00902_B_L002_APMG-35-4,JK130L,ESL043-9.3 ka,9279.926772,9.28
191011_SND405_A_L006_APMG-5-3,SL064L,ESL044-9 ka,9031.735336,9.03
210602_A00902_B_L001_APMG-34-3,SL064L,ESL044-9 ka,9031.735336,9.03
200327_A00902_B_L1-2_APMG-10-9,SL066L,ESL046-8.2 ka,8179.968944,8.18
210602_A00902_B_L002_APMG-35-9,SL066L,ESL046-8.2 ka,8179.968944,8.18
200327_A00902_B_L1-2_APMG-10-10,SL066L,ESL048-7.6 ka,7558.818088,7.56
210602_A00902_B_L002_APMG-35-10,SL066L,ESL048-7.6 ka,7558.818088,7.56
200327_A00902_B_L1-2_APMG-10-13,SL066L,ESL051-7.2 ka,7226.196832,7.23
210602_A00902_B_L001_APMG-34-11,SL066L,ESL051-7.2 ka,7226.196832,7.23
200327_A00902_B_L1-2_APMG-10-14,SL066L,ESL053-6.8 ka,6795.336276,6.8
200327_A00902_B_L1-2_APMG-10-15,SL066L,ESL055-6.6 ka,6608.140128,6.61
191011_SND405_A_L006_APMG-5-4,SL064L,ESL057-6.2 ka,6222.689108,6.22
210602_A00902_B_L001_APMG-34-4,SL064L,ESL057-6.2 ka,6222.689108,6.22
210602_A00902_B_L001_APMG-34-7,JK130L,ESL058-5.5 ka,5473.248524,5.47
200327_A00902_B_L1-2_APMG-10-16,SL066L,ESL061-5 ka,4999.711654,5
200327_A00902_B_L1-2_APMG-10-17,SL067L,ESL063-4.7 ka,4684.672662,4.68
191011_SND405_A_L006_APMG-5-6,SL064L,ESL065-4.3 ka,4330.498391,4.33
210602_A00902_B_L001_APMG-34-6,SL064L,ESL065-4.3 ka,4330.498391,4.33
200327_A00902_B_L1-2_APMG-10-18,SL067L,ESL068-3.5 ka,3502.787251,3.5
210409_A00902_B_L1-2_APMG-28-11,JK125L,ESL069-3.1 ka,3076.212715,3.08
200327_A00902_B_L1-2_APMG-10-19,SL067L,ESL071-2.5 ka,2462.819395,2.46
191011_SND405_A_L006_APMG-5-5,SL064L,ESL072-2.3 ka,2319.189371,2.32
210602_A00902_B_L001_APMG-34-5,SL064L,ESL072-2.3 ka,2319.189371,2.32
210409_A00902_B_L1-2_APMG-28-10,JK125L,ESL073-1.9 ka,1852.030635,1.85
200327_A00902_B_L1-2_APMG-10-20,SL067L,ESL074-1.6 ka,1634.110868,1.63
210409_A00902_B_L1-2_APMG-28-9,JK125L,ESL075-1.1 ka,1087.776805,1.09
200327_A00902_B_L1-2_APMG-10-21,SL067L,ESL076-0.9 ka,868.3223924,0.87
210409_A00902_B_L1-2_APMG-28-8,JK125L,ESL077-0.7 ka,731.7388767,0.73
210409_A00902_B_L1-2_APMG-28-7,JK125L,ESL078-0.5 ka,458.5718454,0.46
200327_A00902_B_L1-2_APMG-10-22,SL067L,ESL079-0.1 ka,131.6921955,0.13
210409_A00902_B_L1-2_APMG-28-13,JK125L,ESL010_EB,-99999,-99999
210602_A00902_B_L001_APMG-34-1,JK130L,ESL010_EB,-99998,-99998
191011_SND405_A_L006_APMG-5-7,SL064L,ESL020_EB,-99997,-99997
210602_A00902_B_L002_APMG-35-1,JK130L,ESL030_EB,-99996,-99996
200327_A00902_B_L1-2_APMG-10-11,SL066L,ESL040_EB,-99995,-99995
210602_A00902_B_L001_APMG-34-8,JK130L,ESL050_EB,-99994,-99994
210602_A00902_B_L002_APMG-35-2,JK130L,ESL060_EB,-99993,-99993
200327_A00902_B_L1-2_APMG-10-23,SL067L,ESL070_EB,-99992,-99992
210409_A00902_B_L1-2_APMG-28-20,JK126L,ESL080_EB,-99991,-99991
210602_A00902_B_L001_APMG-34-9,JK130L,JK130L_LB,-99990,-99990
191011_SND405_A_L006_APMG-5-8,SL064L,SL064L_LB,-99989,-99989
