sample,lib_id,lib_id_order,years,ka
JK159L-1_S17,JK159L-1,01_JK159L-1_29.52ka,29520,29.52
JK158L-7_S15,JK158L-7,02_JK158L-7_28.736ka,28736,28.736
JK158L-6_S14,JK158L-6,03_JK158L-6_26.846ka,26846,26.846
JK158L-5_S13,JK158L-5,04_JK158L-5_24.699ka,24699,24.699
JK158L-4_S12,JK158L-4,05_JK158L-4_23.027ka,23027,23.027
JK158L-3_S11,JK158L-3,06_JK158L-3_22.377ka,22377,22.377
JK158L-2_S10,JK158L-2,07_JK158L-2_20.64ka,20640,20.64
HS034L-7_S37,HS034L-7,08_HS034L-7_18.459ka,18459,18.459
HS032L-6_S20,HS032L-6,09_HS032L-6_15.576ka,15576,15.576
JK158L-1_S9,JK158L-1,10_JK158L-1_14.359ka,14359,14.359
HS033L-1_S23,HS033L-1,11_HS033L-1_13.839ka,13839,13.839
HS033L-2_S24,HS033L-2,12_HS033L-2_13.043ka,13043,13.043
HS033L-3_S25,HS033L-3,13_HS033L-3_12.545ka,12545,12.545
JK157L-7_S7,JK157L-7,14_JK157L-7_11.896ka,11896,11.896
HS033L-5_S27,HS033L-5,15_HS033L-5_10.99ka,10990,10.99
JK157L-6_S6,JK157L-6,16_JK157L-6_10.307ka,10307,10.307
HS033L-4_S26,HS033L-4,17_HS033L-4_9.937ka,9937,9.937
HS032L-1_S23,HS032L-1,18_HS032L-1_10.202ka,10202,10.202
HS032L-2_S39,HS032L-2,19_HS032L-2_8.484ka,8484,8.484
JK157L-5_S5,JK157L-5,20_JK157L-5_7.558ka,7558,7.558
HS032L-3_S40,HS032L-3,21_HS032L-3_6.882ka,6882,6.882
JK157L-4_S4,JK157L-4,22_JK157L-4_3.86ka,3860,3.86
HS034L-2_S32,HS034L-2,23_HS034L-2_3.741ka,3741,3.741
HS034L-3_S33,HS034L-3,24_HS034L-3_3.626ka,3626,3.626
JK157L-3_S3,JK157L-3,25_JK157L-3_2.533ka,2533,2.533
JK157L-2_S2,JK157L-2,26_JK157L-2_1.089ka,1089,1.089
HS034L-1_S31,HS034L-1,27_HS034L-1_0.602ka,602,0.602
HS033L-6_S28,HS033L-6,28_HS033L-6_0.158ka,158,0.158
JK157L-1_S1,JK157L-1,29_JK157L-1_-0.065ka,-65,-0.065
HS032L-7_S21,HS032L-7,30_HS032L-7_EB,-99999,-99999
HS032L-8_S22,HS032L-8,31_HS032L-8_LB,-99998,-99998
HS033L-7_S29,HS033L-7,32_HS033L-7_EB,-99997,-99997
HS033L-8_S30,HS033L-8,33_HS033L-8_LB,-99996,-99996
HS034L-4_S34,HS034L-4,34_HS034L-4_EB,-99995,-99995
HS034L-5_S35,HS034L-5,35_HS034L-5_EB,-99994,-99994
HS034L-6_S36,HS034L-6,36_HS034L-6_EB,-99993,-99993
HS034L-8_S38,HS034L-8,37_HS034L-8_LB,-99992,-99992
JK157L-8_S8,JK157L-8,38_JK157L-8_LB,-99991,-99991
JK158L-8_S16,JK158L-8,39_JK158L-8_LB,-99990,-99990
JK159L-2_S18,JK159L-2,40_JK159L-2_EB,-99989,-99989
JK159L-3_S19,JK159L-3,41_JK159L-3_EB,-99988,-99988
JK159L-4_S20,JK159L-4,42_JK159L-4_EB,-99987,-99987
JK159L-5_S21,JK159L-5,43_JK159L-5_EB,-99986,-99986
JK159L-6_S22,JK159L-6,44_JK159L-6_LB,-99985,-99985
