"sample","lib_id","lib_id_order","years","ka"
"HS032L-1_S23","HS032L-1","18_HS032L-1_10.161ka",10161,10.161
"HS032L-2_S39","HS032L-2","19_HS032L-2_8.471ka",8471,8.471
"HS032L-3_S40","HS032L-3","21_HS032L-3_6.859ka",6859,6.859
"HS032L-6_S20","HS032L-6","09_HS032L-6_15.568ka",15568,15.568
"HS033L-1_S23","HS033L-1","11_HS033L-1_13.85ka",13850,13.85
"HS033L-2_S24","HS033L-2","12_HS033L-2_13.042ka",13042,13.042
"HS033L-3_S25","HS033L-3","13_HS033L-3_12.549ka",12549,12.549
"HS033L-4_S26","HS033L-4","17_HS033L-4_9.9ka",9900,9.9
"HS033L-5_S27","HS033L-5","15_HS033L-5_11.025ka",11025,11.025
"HS033L-6_S28","HS033L-6","28_HS033L-6_0.207ka",207,0.207
"HS034L-1_S31","HS034L-1","27_HS034L-1_0.573ka",573,0.573
"HS034L-2_S32","HS034L-2","23_HS034L-2_3.773ka",3773,3.773
"HS034L-3_S33","HS034L-3","24_HS034L-3_3.655ka",3655,3.655
"HS034L-7_S37","HS034L-7","08_HS034L-7_18.481ka",18481,18.481
"JK157L-1_S1","JK157L-1","29_JK157L-1_-0.06ka",-60,-0.06
"JK157L-2_S2","JK157L-2","26_JK157L-2_1.18ka",1180,1.18
"JK157L-3_S3","JK157L-3","25_JK157L-3_2.498ka",2498,2.498
"JK157L-4_S4","JK157L-4","22_JK157L-4_3.852ka",3852,3.852
"JK157L-5_S5","JK157L-5","20_JK157L-5_7.576ka",7576,7.576
"JK157L-6_S6","JK157L-6","16_JK157L-6_10.248ka",10248,10.248
"JK157L-7_S7","JK157L-7","14_JK157L-7_11.878ka",11878,11.878
"JK158L-1_S9","JK158L-1","10_JK158L-1_14.369ka",14369,14.369
"JK158L-2_S10","JK158L-2","07_JK158L-2_20.694ka",20694,20.694
"JK158L-3_S11","JK158L-3","06_JK158L-3_22.357ka",22357,22.357
"JK158L-4_S12","JK158L-4","05_JK158L-4_23.012ka",23012,23.012
"JK158L-5_S13","JK158L-5","04_JK158L-5_24.698ka",24698,24.698
"JK158L-6_S14","JK158L-6","03_JK158L-6_26.858ka",26858,26.858
"JK158L-7_S15","JK158L-7","02_JK158L-7_28.708ka",28708,28.708
"JK159L-1_S17","JK159L-1","01_JK159L-1_29.461ka",29461,29.461
"HS032L-7_S21","HS032L-7","30_HS032L-7_EB",-99999,-99999
"HS032L-8_S22","HS032L-8","31_HS032L-8_LB",-99998,-99998
"HS033L-7_S29","HS033L-7","32_HS033L-7_EB",-99997,-99997
"HS033L-8_S30","HS033L-8","33_HS033L-8_LB",-99996,-99996
"HS034L-4_S34","HS034L-4","34_HS034L-4_EB",-99995,-99995
"HS034L-5_S35","HS034L-5","35_HS034L-5_EB",-99994,-99994
"HS034L-6_S36","HS034L-6","36_HS034L-6_EB",-99993,-99993
"HS034L-8_S38","HS034L-8","37_HS034L-8_LB",-99992,-99992
"JK157L-8_S8","JK157L-8","38_JK157L-8_LB",-99991,-99991
"JK158L-8_S16","JK158L-8","39_JK158L-8_LB",-99990,-99990
"JK159L-2_S18","JK159L-2","40_JK159L-2_EB",-99989,-99989
"JK159L-3_S19","JK159L-3","41_JK159L-3_EB",-99988,-99988
"JK159L-4_S20","JK159L-4","42_JK159L-4_EB",-99987,-99987
"JK159L-5_S21","JK159L-5","43_JK159L-5_EB",-99986,-99986
"JK159L-6_S22","JK159L-6","44_JK159L-6_LB",-99985,-99985
