sample,lib_id,lib_id_order,years,ka
WJ192L-5_S32,WJ192L-5,01_WJ192L-5_43.16ka,43161,43.16
WJ192L-4_S31,WJ192L-4,02_WJ192L-4_42.54ka,42539,42.54
WJ192L-3_S30,WJ192L-3,03_WJ192L-3_42.01ka,42006,42.01
WJ192L-1_S29,WJ192L-1,04_WJ192L-1_40.42ka,40415,40.42
WJ194L-6_S26,WJ194L-6,05_WJ194L-6_39.53ka,39533,39.53
WJ194L-5_S25,WJ194L-5,06_WJ194L-5_38.76ka,38760,38.76
WJ194L-4_S24,WJ194L-4,07_WJ194L-4_38ka,38002,38
WJ194L-3_S23,WJ194L-3,08_WJ194L-3_37.26ka,37262,37.26
WJ194L-2_S22,WJ194L-2,09_WJ194L-2_36.52ka,36519,36.52
WJ194L-1_S21,WJ194L-1,10_WJ194L-1_35.81ka,35809,35.81
WJ195L-5_S18,WJ195L-5,11_WJ195L-5_34.43ka,34428,34.43
WJ195L-1_S17,WJ195L-1,12_WJ195L-1_31.27ka,31266,31.27
WJ196L-15_S15,WJ196L-15,13_WJ196L-15_30.33ka,30332,30.33
WJ196L-14_S14,WJ196L-14,14_WJ196L-14_29.1ka,29104,29.1
WJ196L-13_S13,WJ196L-13,15_WJ196L-13_27.7ka,27695,27.7
WJ196L-12_S12,WJ196L-12,16_WJ196L-12_25.87ka,25869,25.87
WJ196L-11_S11,WJ196L-11,17_WJ196L-11_24.1ka,24098,24.1
WJ196L-10_S10,WJ196L-10,18_WJ196L-10_23.56ka,23560,23.56
WJ196L-9_S9,WJ196L-9,19_WJ196L-9_20ka,19997,20
WJ196L-8_S8,WJ196L-8,20_WJ196L-8_18.56ka,18560,18.56
WJ196L-7_S7,WJ196L-7,21_WJ196L-7_17.59ka,17593,17.59
WJ196L-6_S6,WJ196L-6,22_WJ196L-6_12.16ka,12158,12.16
WJ196L-5_S5,WJ196L-5,23_WJ196L-5_7.48ka,7479,7.48
WJ196L-4_S4,WJ196L-4,24_WJ196L-4_2.74ka,2744,2.74
WJ192L-6_S33,WJ192L-6,25_WJ192L-6_EB,-99999,-99999
WJ192L-7_S34,WJ192L-7,26_WJ192L-7_EB,-99998,-99998
WJ194L-7_S27,WJ194L-7,27_WJ194L-7_EB,-99997,-99997
WJ195L-7_S19,WJ195L-7,28_WJ195L-7_EB,-99996,-99996
WJ196L-1_S1,WJ196L-1,29_WJ196L-1_EB,-99995,-99995
WJ196L-2_S2,WJ196L-2,30_WJ196L-2_EB,-99994,-99994
WJ196L-3_S3,WJ196L-3,31_WJ196L-3_EB,-99993,-99993
WJ192L-8_S35,WJ192L-8,32_WJ192L-8_LB,-99992,-99992
WJ194L-8_S28,WJ194L-8,33_WJ194L-8_LB,-99991,-99991
WJ195L-8_S20,WJ195L-8,34_WJ195L-8_LB,-99990,-99990
WJ196L-16_S16,WJ196L-16,35_WJ196L-16_LB,-99989,-99989
