sample,lib_id,lib_id_order,years,ka
WS401L2-01_S1,WS401L.1,01_WS401L.1_0.29ka,290,0.29
WS401L2-02_S2,WS401L.2,02_WS401L.2_0.9ka,895,0.9
WS401L2-03_S3,WS401L.3,03_WS401L.3_1.53ka,1527,1.53
WS401L2-04_S4,WS401L.4,04_WS401L.4_2.06ka,2056,2.06
WS401L2-05_S5,WS401L.5,05_WS401L.5_2.82ka,2815,2.82
WS401L2-06_S6,WS401L.6,06_WS401L.6_3.49ka,3492,3.49
WS401L2-07_S7,WS401L.7,07_WS401L.7_4.3ka,4296,4.3
WS404L-01_S1,WS404L.1,08_WS404L.1_4.76ka,4763,4.76
WS402L-01_S9,WS402L.1,09_WS402L.1_5.04ka,5042,5.04
WS402L-02_S10,WS402L.2,10_WS402L.2_5.75ka,5750,5.75
WS402L-03_S11,WS402L.3,11_WS402L.3_6.71ka,6707,6.71
WS404L-02_S2,WS404L.2,12_WS404L.2_7.44ka,7443,7.44
WS402L-04_S12,WS402L.4,13_WS402L.4_8.18ka,8179,8.18
WS404L-03_S3,WS404L.3,14_WS404L.3_8.87ka,8869,8.87
WS402L-05_S13,WS402L.5,15_WS402L.5_9.39ka,9387,9.39
WS402L-06_S14,WS402L.6,16_WS402L.6_10.1ka,10100,10.1
WS403L2-01_S9,WS403L.1,17_WS403L.1_10.89ka,10894,10.89
WS403L2-02_S10,WS403L.2,18_WS403L.2_11.63ka,11627,11.63
WS403L2-03_S11,WS403L.3,19_WS403L.3_12.63ka,12629,12.63
WS403L2-04_S12,WS403L.4,20_WS403L.4_13.46ka,13461,13.46
WS404L-04_S4,WS404L.4,21_WS404L.4_14.08ka,14083,14.08
WS403L2-05_S13,WS403L.5,22_WS403L.5_15.24ka,15244,15.24
WS404L-05_S5,WS404L.5,23_WS404L.5_16.36ka,16359,16.36
WS403L2-06_S14,WS403L.6,24_WS403L.6_17.23ka,17232,17.23
WS404L-06_S6,WS404L.6,25_WS404L.6_18.48ka,18475,18.48
WS403L2-07_S15,WS403L.7,26_WS403L.7_20.23ka,20234,20.23
WS401L2-08_S8,WS401L.8,27_WS401L.8_LB,-99999,-99999
WS402L-07_S15,WS402L.7,28_WS402L.7_EB,-99998,-99998
WS402L-08_S16,WS402L.8,29_WS402L.8_LB,-99997,-99997
WS403L2-08_S17,WS403L.8,30_WS403L.8_LB,-99996,-99996
WS404L-07_S7,WS404L.7,31_WS404L.7_EB,-99995,-99995
WS404L-08_S8,WS404L.8,32_WS404L.8_LB,-99994,-99994
